fecha_prueba,Negativo,Positivo,IgM e IgG Positivo
27/08/2022,13321739,1883224,365017
27/09/2020,13321742,1883228,365017
27/09/2021,13357247,1884245,365346
27/09/2022,13378277,1884666,365484
27/10/2020,13378423,1884668,365484
27/10/2021,13410562,1885471,365777
27/10/2022,13424499,1885758,365879
27/11/2020,13424811,1885788,365879
27/11/2021,13447004,1886672,365893
27/11/2022,13454265,1888765,366858
27/12/2020,13454418,1888794,366858
27/12/2021,13496870,1892145,367556
27/12/2022,13513250,1894256,369054
28/01/2021,13530098,1897156,369054
28/01/2022,13586066,1920601,373301
28/01/2023,13593806,1920726,373370
28/02/2021,13599918,1921988,373370
28/02/2022,13640547,1923046,373706
28/02/2023,13650533,1923223,373785
28/03/2020,13650535,1923223,373785
28/03/2021,13657893,1925166,373785
28/03/2022,13695277,1925605,373861
28/03/2023,13703832,1925973,373991
28/04/2021,13739880,1932151,373998
28/04/2022,13763783,1932461,374029
28/05/2020,13763783,1932462,374029
28/05/2021,13794742,1935889,374030
28/05/2022,13809724,1936275,374059
28/06/2021,13846993,1939192,374668
28/06/2022,13876984,1942424,375444
28/07/2020,13876984,1942425,375444
28/07/2021,13889961,1942952,375563
28/07/2022,13903219,1946926,376826
28/08/2020,13903223,1946931,376826
28/08/2021,13929261,1947699,377005
28/08/2022,13938740,1948323,377164
28/09/2020,13938762,1948336,377164
28/09/2021,13971681,1949224,377397
28/09/2022,13990474,1949605,377581
28/10/2020,13990594,1949613,377581
28/10/2021,14022862,1950407,377854
28/10/2022,14034961,1950692,377937
28/11/2020,14035128,1950711,377937
28/11/2021,14044973,1951084,377953
28/11/2022,14071974,1961726,382240
28/12/2020,14074094,1961993,382240
28/12/2021,14115919,1965349,383050
28/12/2022,14132070,1967411,384639
29/01/2021,14152092,1970544,384639
29/01/2022,14199512,1988851,388658
29/01/2023,14204029,1988907,388691
29/03/2020,14204030,1988907,388691
29/03/2021,14243098,1998607,388706
29/03/2022,14275854,1998955,388771
29/03/2023,14284394,1999314,388893
29/04/2021,14320481,2005107,388904
29/04/2022,14344867,2005349,388940
29/05/2020,14344883,2005350,388940
29/05/2021,14369533,2008422,388940
29/05/2022,14378211,2008616,388968
29/06/2020,14378212,2008616,388968
29/06/2021,14395859,2009823,389220
29/06/2022,14410055,2011847,389790
29/07/2020,14410056,2011851,389790
29/07/2021,14423691,2012385,389940
29/07/2022,14437441,2016258,391230
29/08/2020,14437442,2016259,391230
29/08/2021,14448049,2016530,391300
29/08/2022,14469905,2018455,391921
29/09/2020,14469910,2018459,391921
29/09/2021,14503079,2019243,392210
29/09/2022,14521661,2019638,392350
29/10/2020,14521700,2019645,392350
29/10/2021,14553099,2020380,392602
29/10/2022,14562936,2020552,392666
29/11/2020,14563019,2020553,392666
29/11/2021,14595322,2021888,392692
29/11/2022,14620191,2032466,397013
29/12/2020,14621764,2032736,397013
29/12/2021,14662790,2036302,397707
29/12/2022,14675956,2037941,398885
3/01/2021,14677104,2038061,398885
3/01/2022,14733310,2048624,400600
3/01/2023,14748712,2049932,401340
3/02/2021,14771327,2054295,401340
3/02/2022,14821807,2066484,404930
3/02/2023,14830759,2066614,405019
3/03/2021,14865600,2072078,405025
3/03/2022,14900011,2072739,405243
3/03/2023,14909270,2072916,405311
3/04/2021,14930643,2080740,405311
3/04/2022,14942664,2080834,405327
3/04/2023,14951073,2081259,405472
3/05/2020,14951076,2081259,405472
